Provinsi;Kab/Kota;Prevalensi Balita Stunting (%);Kategori Prevalensi Stunting Berdasarkan WHO;Jumlah Penduduk (jiwa);Tingkat Kemiskinan (%);Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%);Persentase Sarana Air Minum Memenuhi Syarat (%);Proporsi Desa/Kelurahan Stop BAB Sembarangan (%);Jumlah Rumah Sakit;Jumlah Puskesmas;Jumlah Posyandu;Jumlah Dokter;Jumlah Bidan;Jumlah Perawat
KEP. BABEL;Kota Pangkalpinang;16.7;Low;222.298;4.5;94.6;96.8;81;7;9;91;357;242;731
LAMPUNG;Kabupaten Lampung Barat;22.7;Medium;302.749;12.8;100;74.7;100;2;15;133;87;472;357
LAMPUNG;Kabupaten Lampung Selatan;16.3;Low;1.071.727;14.2;100;70.8;100;6;26;628;310;802;765
LAMPUNG;Kabupaten Lampung Tengah;20.8;Medium;1.477.395;12;70;69;80.3;9;38;1.277;386;1.070;1.217
LAMPUNG;Kabupaten Lampung Timur;15.3;Low;1.118.115;15.1;93.9;93.1;72.7;5;34;1.144;197;881;588
LAMPUNG;Kabupaten Lampung Utara;20.2;Medium;634.117;19.6;79.5;52.9;25.5;6;27;425;197;871;780
LAMPUNG;Kabupaten Mesuji;21.8;Medium;229.772;7.5;89.4;73;82.9;2;13;137;68;354;188
LAMPUNG;Kabupaten Pesawaran;17.6;Low;481.708;15.1;86.6;55.3;17.4;3;13;186;124;324;484
LAMPUNG;Kabupaten Pesisir Barat;22.8;Medium;163.641;14.8;82.8;97.6;23.7;1;11;95;33;403;225
LAMPUNG;Kabupaten Pringsewu;19;Low;406.823;10.1;100;97.8;100;8;13;322;213;501;794
LAMPUNG;Kabupaten Tanggamus;25;Medium;645.807;11.8;65.3;49.6;17.2;2;24;691;91;659;482
LAMPUNG;Kabupaten Tulang Bawang;9.5;Low;430.630;9.7;100;83;100;4;18;293;153;516;457
LAMPUNG;Kabupaten Tulang Bawang Barat;22.1;Medium;287.707;8.3;100;91.6;100;2;15;157;70;384;220
LAMPUNG;Kabupaten Way Kanan;20.7;Medium;476.871;13.1;100;71.9;100;2;19;269;149;735;392
LAMPUNG;Kota Bandar Lampung;19.4;Low;1.184.949;9.1;95.9;100;73;20;30;704;1.181;1.006;3.095
LAMPUNG;Kota Metro;19.7;Low;169.781;8.9;100;60;100;9;13;125;321;323;1.082
BANTEN;Kabupaten Lebak;27.3;Medium;1.386.793;10.3;50.1;100;9.3;4;42;1.222;354;1.171;1.075
BANTEN;Kabupaten Pandeglang;37.8;High;1.272.687;10.7;70.3;100;6.8;1;36;421;179;998;803
BANTEN;Kabupaten Serang;27.2;Medium;1.622.630;5.5;4.8;94;11.7;4;31;930;337;925;1.730
BANTEN;Kabupaten Tangerang;23.3;Medium;3.245.619;7.1;4.8;100;0.4;26;44;1.180;2.129;998;3.590
BANTEN;Kota Cilegon;20.6;Medium;434.896;4.2;99.8;55.6;90.7;5;9;286;538;436;976
